Euromillions
Past Draws Results Year 2012
Date              	1  	2  	3  	4  	5  	Star1 	Star2 	
28 December 2012  	17 	24 	26 	27 	49 	03    	05    	
25 December 2012  	14 	18 	20 	23 	32 	03    	10    	
21 December 2012  	03 	05 	22 	40 	42 	03    	10    	
18 December 2012  	14 	18 	20 	35 	44 	02    	05    	
14 December 2012  	10 	11 	29 	40 	43 	03    	11    	
11 December 2012  	01 	04 	09 	43 	50 	06    	08    	
07 December 2012  	10 	16 	18 	31 	42 	02    	05    	
04 December 2012  	05 	10 	28 	29 	44 	02    	04    	
30 November 2012  	10 	18 	23 	24 	40 	03    	04    	
27 November 2012  	06 	10 	23 	44 	49 	01    	07    	
23 November 2012  	01 	09 	11 	20 	40 	01    	05    	
20 November 2012  	28 	30 	42 	45 	49 	05    	10    	
16 November 2012  	10 	15 	19 	23 	41 	02    	09    	
13 November 2012  	11 	16 	21 	24 	29 	02    	06    	
09 November 2012  	14 	21 	22 	28 	47 	04    	05    	
06 November 2012  	07 	20 	25 	35 	41 	01    	09    	
02 November 2012  	03 	06 	10 	11 	44 	03    	04    	
30 October 2012   	23 	24 	25 	31 	44 	02    	03    	
26 October 2012   	05 	06 	09 	27 	38 	05    	11    	
23 October 2012   	01 	28 	35 	38 	50 	02    	10    	
19 October 2012   	16 	29 	37 	40 	44 	08    	10    	
16 October 2012   	10 	32 	40 	41 	49 	02    	08    	
12 October 2012   	06 	07 	17 	35 	43 	02    	08    	
09 October 2012   	02 	08 	10 	23 	25 	08    	09    	
05 October 2012   	09 	16 	18 	19 	21 	02    	03    	
02 October 2012   	04 	16 	21 	36 	42 	07    	08    	
28 September 2012 	20 	23 	26 	30 	33 	06    	09    	
25 September 2012 	07 	25 	27 	48 	49 	01    	04    	
21 September 2012 	04 	19 	34 	41 	43 	07    	11    	
18 September 2012 	06 	07 	38 	39 	44 	07    	09    	
14 September 2012 	03 	10 	23 	27 	44 	07    	09    	
11 September 2012 	06 	15 	22 	37 	44 	02    	04    	
07 September 2012 	13 	15 	30 	35 	42 	04    	06    	
04 September 2012 	11 	17 	18 	39 	44 	05    	10    	
31 August 2012    	16 	28 	31 	33 	48 	07    	11    	
28 August 2012    	01 	18 	25 	26 	44 	04    	05    	
24 August 2012    	05 	06 	12 	19 	37 	03    	07    	
21 August 2012    	04 	05 	17 	38 	48 	03    	04    	
17 August 2012    	19 	25 	28 	33 	44 	02    	08    	
14 August 2012    	01 	16 	38 	42 	45 	09    	10    	
10 August 2012    	11 	17 	21 	48 	50 	09    	10    	
07 August 2012    	20 	27 	34 	46 	50 	02    	03    	
03 August 2012    	24 	34 	35 	42 	46 	01    	05    	
31 July 2012      	04 	29 	35 	36 	39 	08    	09    	
